meanRevs4,meanRevs6,meanRevs8,participant,condLabel,ptnt4,ptnt6,ptnt8,norm4,norm6,norm8,expName,expPara,time,dom,session,nRevs,mcSz,mcSf,mcBv,mcBsf,mcPeriGap,mcPeriFade,targSz,targSf,targOri1,targOri2,targXoff1,targXoff2,targYoff,targV,targTtot,targTpeak,trialT,fixCross,"Mask
Velocity",Mask/Target
-1.09875,-1.1325,-1.174375,1,mcBv-0.01_tgT-1.0_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,1.166268487,1.134032377,1.100665247,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1,2,1,0,"Static mask
Peripheral target"
-1.1775,-1.151666667,-1.1575,1,mcBv-0.01_tgT-1.0_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,1.088269639,1.11515919,1.116711663,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1,2,1,0,"Static mask
Center target"
-1.11875,-1.2125,-1.209375,1,mcBv-0.01_tgT-1.33_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,1.145418994,1.059209622,1.06881137,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.33,2,1,0,"Static mask
Peripheral target"
-1.1925,-1.145,-1.17125,1,mcBv-0.01_tgT-1.33_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,1.074580713,1.121652111,1.103601921,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,2,1,0,"Static mask
Center target"
-1.16,-1.19,-1.18,1,mcBv-0.01_tgT-1.66_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,1.1046875,1.079236695,1.095418432,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.66,2,1,0,"Static mask
Peripheral target"
-1.21,-1.19,-1.205,1,mcBv-0.01_tgT-1.66_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,1.059039256,1.079236695,1.072691909,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,2,1,0,"Static mask
Center target"
-1.575,-1.6,-1.56875,1,mcBv-9.6_tgT-0.33_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,0.813611111,0.802682292,0.823964143,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.33,2,1,16,"Dynamic mask
Peripheral target"
-1.425,-1.433333333,-1.4125,1,mcBv-9.6_tgT-0.33_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,0.899254386,0.896017442,0.915110619,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,2,1,16,"Dynamic mask
Center target"
-1.48,-1.47,-1.48375,1,mcBv-9.6_tgT-0.66_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,0.865836149,0.8736678,0.871166807,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.66,2,1,16,"Dynamic mask
Peripheral target"
-1.24375,-1.245833333,-1.321875,1,mcBv-9.6_tgT-0.66_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,1.030301508,1.030869565,0.9778487,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,2,1,16,"Dynamic mask
Center target"
-1.49,-1.51,-1.46375,1,mcBv-9.6_tgT-1.0_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,0.860025168,0.850524283,0.883070026,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1,2,1,16,"Dynamic mask
Peripheral target"
-1.3625,-1.425,-1.40625,1,mcBv-9.6_tgT-1.0_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,0.940504587,0.90125731,0.919177778,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1,2,1,16,"Dynamic mask
Center target"
-1.57625,-1.5675,-1.556875,1,mcBv-9.6_tgT-1.33_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,0.8129659,0.819324827,0.830248896,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.33,2,1,16,"Dynamic mask
Peripheral target"
-1.28375,-1.2725,-1.310625,1,mcBv-9.6_tgT-1.33_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,0.998198637,1.009266536,0.986242251,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,2,1,16,"Dynamic mask
Center target"
-1.5325,-1.538333333,-1.52875,1,mcBv-9.6_tgT-1.66_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,0.836174551,0.834859155,0.845523303,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.66,2,1,16,"Dynamic mask
Peripheral target"
-1.31,-1.273333333,-1.34875,1,mcBv-9.6_tgT-1.66_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,0.978196565,1.008606021,0.958364226,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,2,1,16,"Dynamic mask
Center target"
-0.79625,-0.780833333,-0.810625,2,mcBv-0.01_tgT-0.33_tgEcc-100,-0.947,-0.964666667,-0.966625,1.189324961,1.235432231,1.192444102,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.33,2,1,0,"Static mask
Peripheral target"
-0.86,-0.84,-0.82375,2,mcBv-0.01_tgT-0.33_tgEcc-28,-0.947,-0.964666667,-0.966625,1.101162791,1.148412698,1.173444613,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,2,1,0,"Static mask
Center target"
-0.60375,-0.6525,-0.651875,2,mcBv-0.01_tgT-0.66_tgEcc-100,-0.947,-0.964666667,-0.966625,1.568530021,1.478416347,1.482837967,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.66,2,1,0,"Static mask
Peripheral target"
